时间,前值,现值,发布日期
2025年07月,-0.1,,2025-09-26
2025年06月,-0.1,-0.1,2025-08-29
2025年05月,-0.1,-0.1,2025-07-31
2025年04月,0.2,-0.1,2025-06-27
2025年03月,-0.2,0.2,2025-05-30
2025年02月,0.4,-0.2,2025-04-30
2025年01月,0.2,0.4,2025-03-28
2024年12月,-0.2,0.2,2025-02-28
2024年11月,0.3,-0.2,2025-01-31
2024年10月,0.3,0.3,2024-12-23
2024年09月,0.1,0.3,2024-11-29
2024年08月,0.1,0.1,2024-10-31
2024年07月,0.0,0.1,2024-09-27
2024年06月,0.1,0.0,2024-08-30
2024年05月,0.4,0.1,2024-07-31
2024年04月,0.0,0.4,2024-06-28
2024年03月,0.2,0.0,2024-05-31
2024年02月,0.4,0.2,2024-04-30
2024年01月,-0.1,0.4,2024-03-28
2023年12月,0.2,-0.1,2024-02-29
2023年11月,0.1,0.2,2024-01-31
2023年10月,0.0,0.1,2023-12-22
2023年09月,0.0,0.0,2023-11-30
2023年08月,-0.1,0.0,2023-10-31
2023年07月,-0.2,-0.1,2023-09-29
2023年06月,0.3,-0.2,2023-09-01
2023年05月,0.0,0.3,2023-07-28
2023年04月,0.0,0.0,2023-06-30
2023年03月,0.1,0.0,2023-05-31
2023年02月,0.5,0.1,2023-04-28
2023年01月,-0.1,0.5,2023-03-31
2022年12月,0.1,-0.1,2023-02-28
2022年11月,0.1,0.1,2023-01-31
2022年10月,0.1,0.1,2022-12-23
2022年09月,0.1,0.1,2022-11-29
2022年08月,0.1,0.1,2022-10-28
2022年07月,0.1,0.1,2022-09-29
2022年06月,0.0,0.1,2022-08-31
2022年05月,0.3,0.0,2022-07-29
2022年04月,0.7,0.3,2022-06-30
2022年03月,1.1,0.7,2022-05-31
2022年02月,0.2,1.1,2022-04-29
2022年01月,0.0,0.2,2022-03-31
2021年12月,0.6,0.0,2022-03-01
2021年11月,0.8,0.6,2022-02-01
2021年10月,0.1,0.8,2021-12-23
2021年09月,0.4,0.1,2021-11-30
2021年08月,-0.1,0.4,2021-10-29
2021年07月,0.7,-0.1,2021-09-30
2021年06月,-0.3,0.7,2021-08-31
2021年05月,-0.3,-0.3,2021-07-30
2021年04月,1.1,-0.3,2021-06-30
2021年03月,0.4,1.1,2021-06-01
2021年02月,0.7,0.4,2021-04-30
2021年01月,0.1,0.7,2021-03-31
2020年12月,0.7,0.1,2021-03-02
2020年11月,0.4,0.7,2021-01-29
2020年10月,0.8,0.4,2020-12-31
2020年09月,1.2,0.8,2020-12-01
2020年08月,2.5,1.2,2020-10-30
2020年07月,6.2,2.5,2020-09-30
2020年06月,4.6,6.2,2020-08-28
2020年05月,-11.6,4.6,2020-07-31
2020年04月,-7.2,-11.6,2020-06-30
2020年03月,0.0,-7.2,2020-05-29
2020年02月,0.1,0.0,2020-04-30
2020年01月,0.3,0.1,2020-03-31
2019年12月,0.1,0.3,2020-02-28
2019年11月,-0.1,0.1,2020-01-31
2019年10月,0.1,-0.1,2019-12-23
2019年09月,0.1,0.1,2019-11-29
2019年08月,0.0,0.1,2019-10-31
2019年07月,0.2,0.0,2019-10-01
2019年06月,0.2,0.2,2019-08-30
2019年05月,0.3,0.2,2019-07-31
2019年04月,0.5,0.3,2019-06-28
2019年03月,-0.1,0.5,2019-05-31
2019年02月,0.3,-0.1,2019-04-30
2019年01月,-0.1,0.3,2019-03-29
2018年12月,-0.1,-0.1,2019-03-01
2018年11月,0.3,-0.1,2019-01-31
2018年10月,-0.1,0.3,2018-12-21
2018年09月,0.1,-0.1,2018-11-30
2018年08月,0.2,0.1,2018-10-31
2018年07月,0.1,0.2,2018-09-28
2018年06月,0.5,0.1,2018-08-30
2018年05月,0.1,0.5,2018-07-31
2018年04月,0.3,0.1,2018-06-29
2018年03月,0.4,0.3,2018-05-31
2018年02月,-0.1,0.4,2018-05-01
2018年01月,0.1,-0.1,2018-03-29
2017年12月,0.4,0.1,2018-03-02
2017年11月,0.0,0.4,2018-01-31
2017年10月,0.2,0.0,2017-12-22
2017年09月,-0.1,0.2,2017-12-01
2017年08月,0.1,-0.1,2017-10-31
2017年07月,0.3,0.1,2017-09-29
2017年06月,0.6,0.3,2017-08-31
2017年05月,0.3,0.6,2017-07-28
2017年04月,0.5,0.3,2017-06-30
2017年03月,0.0,0.5,2017-05-31
2017年02月,0.6,0.0,2017-04-28
2017年01月,0.3,0.6,2017-03-31
2016年12月,0.4,0.3,2017-03-02
2016年11月,-0.3,0.4,2017-01-31
2016年10月,0.4,-0.3,2016-12-23
2016年09月,0.2,0.4,2016-11-30
2016年08月,0.5,0.2,2016-11-01
2016年07月,0.6,0.5,2016-09-30
2016年06月,-0.6,0.6,2016-08-31
2016年05月,0.1,-0.6,2016-07-29
2016年04月,-0.2,0.1,2016-06-30
2016年03月,-0.1,-0.2,2016-05-31
2016年02月,0.6,-0.1,2016-04-29
2016年01月,0.3,0.6,2016-03-31
2015年12月,0.3,0.3,2016-03-01
2015年11月,0.1,0.3,2016-01-29
2015年10月,-0.5,0.1,2015-12-23
2015年09月,0.1,-0.5,2015-12-01
2015年08月,0.3,0.1,2015-10-30
2015年07月,0.5,0.3,2015-09-30
2015年06月,-0.2,0.5,2015-09-01
2015年05月,-0.1,-0.2,2015-07-31
2015年04月,-0.2,-0.1,2015-06-30
2015年03月,0.0,-0.2,2015-05-31
2015年02月,-0.1,0.0,2015-05-03
2015年01月,0.3,-0.1,2015-04-02
2014年12月,-0.2,0.3,2015-03-02
2014年11月,0.3,-0.2,2015-01-31
2014年10月,0.4,0.3,2014-12-31
2014年09月,-0.1,0.4,2014-12-01
2014年08月,0.0,-0.1,2014-10-31
2014年07月,0.3,0.0,2014-09-30
2014年06月,0.5,0.3,2014-08-31
2014年05月,0.1,0.5,2014-07-31
2014年04月,0.1,0.1,2014-07-01
2014年03月,0.2,0.1,2014-05-31
2014年02月,0.3,0.2,2014-05-03
2014年01月,-0.5,0.3,2014-04-02
2013年12月,0.2,-0.5,2014-03-02
2013年11月,0.4,0.2,2014-01-31
2013年10月,0.3,0.4,2013-12-31
2013年09月,0.2,0.3,2013-12-01
2013年08月,0.6,0.2,2013-10-31
2013年07月,-0.5,0.6,2013-09-30
2013年06月,0.2,-0.5,2013-08-31
2013年05月,0.1,0.2,2013-07-31
2013年04月,0.2,0.1,2013-07-01
2013年03月,0.3,0.2,2013-05-31
2013年02月,0.2,0.3,2013-05-03
2013年01月,-0.2,0.2,2013-04-02
2012年12月,0.3,-0.2,2013-03-02
2012年11月,0.1,0.3,2013-01-31
2012年10月,0.0,0.1,2024-09-03
2012年09月,-0.1,0.0,2024-09-03
2012年08月,0.2,-0.1,2024-09-03
2012年07月,0.2,0.2,2024-09-03
2012年06月,0.1,0.2,2012-08-31
2012年05月,0.3,0.1,2012-07-31
2012年04月,0.1,0.3,2012-07-01
2012年03月,-0.2,0.1,2012-05-31
2012年02月,0.1,-0.2,2012-05-02
2012年01月,0.4,0.1,2012-04-01
2011年12月,-0.1,0.4,2012-03-01
2011年11月,0.0,-0.1,2012-01-31
2011年10月,0.2,0.0,2011-12-31
2011年09月,0.3,0.2,2011-12-01
2011年08月,0.3,0.3,2011-10-31
2011年07月,0.2,0.3,2011-09-30
2011年06月,-0.3,0.2,2011-08-31
2011年05月,0.0,-0.3,2011-07-31
2011年04月,0.3,0.0,2011-07-01
2011年03月,-0.2,0.3,2011-05-31
2011年02月,0.5,-0.2,2011-05-03
2011年01月,0.5,0.5,2011-04-02
